company_name,location,location_type,sales,url,phone_number
"Hainan Development Holdings Co.,Ltd.",Hainan(China),Headquarters,1484678262,www.hnhold.cn,89836656666.0
"Zhejiang Hangmin Co.,Ltd",Zhejiang(China),Headquarters,1484607091,www.hmgf.com,57182551588.0
Xi'An Janssen Pharmaceutical Ltd.,Shaanxi(China),Headquarters,1484522359,www.xian-janssen.com.cn,
"State Grid Yingda Co.,Ltd.",Shanghai(China),Headquarters,1483686559,www.zhixindianqi.com,2151796818.0
"Shinva Medical Instrument Co., Ltd.",Shandong(China),Headquarters,1483205568,www.shinva.net,5333587766.0
"Zhejiang Dongyang No.3 Construction Engineering Co., Ltd.",Zhejiang(China),Headquarters,1480863600,www.dy3j.com,57986646557.0
"Sunstone Development Co.,Ltd.",Shandong(China),Headquarters,1479412070,www.sun-stone.com,5342148011.0
"Citychamp Dartong Co.,Ltd.",Fujian(China),Headquarters,1479298196,www.gcdt.net,
"Zhuhai Aviation City Development Group Co., Ltd",Guangdong(China),Headquarters,1478820802,,7563231189.0
"Qingdao Tgood Electric Co.,Ltd.",Shandong(China),Headquarters,1476773108,www.tgood.cn,53280938126.0
"Holley Pharmaceutical Group Co., Ltd",Zhejiang(China),Headquarters,1476473318,www.hofon.cn,57188900725.0
"Henan Neptunus Pharmaceutical Group Co., Ltd.",Henan(China),Headquarters,1475838778,www.csper.cn,37158557892.0
"Huatai Insurance Group Co., Ltd.",Beijing(China),Headquarters,1474840000,www.ehuatai.com,1059371888.0
"Dehua Tb New Decoration Material Co.,Ltd",Zhejiang(China),Headquarters,1474403189,www.dhwooden.com,5728405539.0
"Nantong City Construction Group Co., Ltd.",Jiangsu(China),Headquarters,1473695857,,51359001807.0
"Nantong Tianyi Real Estate Co., Ltd.",Jiangsu(China),Headquarters,1473695857,,51385728002.0
"Henan Weijia Automobile Trade Group Co., Ltd.",Henan(China),Headquarters,1473305220,www.weijiajituan.com,37155150020.0
Shaoxing City Investment Group Limited,Zhejiang(China),Headquarters,1472435581,www.sxctjt.net,57585203768.0
State Grid Henan Electric Power Company,Henan(China),Headquarters,1471095000,,37167903193.0
"Shandong Lucion Investment Holdings Group Co., Ltd",Shandong(China),Headquarters,1470626115,www.luxin.cn,53186566600.0
"Shanghai Huazhen Transport Co., Ltd.",Shanghai(China),Headquarters,1469888000,www.hoau.net,2162636666.0
Shenzhen Co-Stone Venture Investment Management Company Limited.,Guangdong(China),Headquarters,1469768620,www.stonevc.com,75582792366.0
"Zhongtian Technology Group Co., Ltd.",Jiangsu(China),Headquarters,1468779000,www.chinaztt.cn,51389191188.0
"Hefei Ja Solar Technology Co., Ltd.",Anhui(China),Headquarters,1468683768,www.jasolar.com,55167190999.0
"Xi'An City The Village Of The Village Construction And Development Co., Ltd.",Shaanxi(China),Headquarters,1468538900,,17077546627.0
Hubei Changjiang Press & Media Group Company Limited,Hubei(China),Headquarters,1468477060,www.cjcb.com.cn,2787679808.0
Jiang Su Kanion Group Co.Ltd,Jiangsu(China),Headquarters,1468268865,www.kanion.com,51881152309.0
"Chunghsin Industry Group Co., Ltd.",Zhejiang(China),Headquarters,1467840000,,57688322567.0
"Jiangsu Di'Ao Investment Co., Ltd.",Jiangsu(China),Headquarters,1467840000,,
"Jiangsu Hongtaiyang New Commerce Group Co., Ltd.",Jiangsu(China),Headquarters,1467840000,,2557888689.0
"Motorola Systems (China) Investment Co., Ltd.",Beijing(China),Headquarters,1467840000,www.motorola.com,1065642288.0
"Shanghai Dazhong Allied Developing Co., Ltd.",Shanghai(China),Headquarters,1467840000,www.shanghailh.com,2159574075.0
"Shanghai Shengyuan Investment Co., Ltd.",Shanghai(China),Headquarters,1467840000,,2162258811.0
"Shenzhen Zhongnan Holding Group Co., Ltd.",Guangdong(China),Headquarters,1467840000,www.zhongnanholdings.cn,75525616288.0
"Xiamen Haiyi Investment Co.,Ltd.",Fujian(China),Headquarters,1467840000,www.ccretz.com,5922360399.0
Xizi United Holding Corporation,Zhejiang(China),Headquarters,1467840000,www.xiziuhc.com,57185166111.0
"Anyuan Coal Industry Group Co.,Ltd.",Jiangxi(China),Headquarters,1467794287,www.anyuan2002.com,79187151837.0
"Boill Holding Group Co.,Ltd",Shanghai(China),Headquarters,1467326353,www.boill.com,2150900888.0
"Beijing Electric Vehicle Co.,Ltd",Beijing(China),Headquarters,1467065839,www.bjev.com.cn,1053970627.0
"Hechi Guoyou Capital Investment Operation (Group) Co., Ltd.",Guangxi(China),Headquarters,1465862813,www.hechiguotou.com,7782235115.0
"Henan Zhonggangwang Technology Group Co., Ltd.",Beijing(China),Headquarters,1465634440,www.zgw.com,37188959980.0
"Guizhou Zhongkang Investment Co., Ltd.",Guizhou(China),Headquarters,1465310700,,
"China Mobile Group Hunan Co., Ltd.",Hunan(China),Headquarters,1464912000,www.chinamobileltd.com,73183922464.0
"Chongqing Zongshen Power Machinery Co.,Ltd",Chongqing(China),Headquarters,1464773191,www.zsengine.com,2366372038.0
"Chengdu Hongqi Chain Co., Ltd.",Sichuan(China),Headquarters,1462694526,www.hqls.com.cn,2887825762.0
Shenyang Aircraft Corporation,Liaoning(China),Headquarters,1461849667,www.saclogistics.com,2486595112.0
"Yanjian Group Co.,Ltd",Shandong(China),Headquarters,1461587784,www.yanjian.com.cn,5356657689.0
"Zhongbai Warehouse Supermarket Co., Ltd.",Hubei(China),Headquarters,1460440152,www.zon100.com,
"Hubei Provincial Road & Bridge Co.,Ltd",Hubei(China),Headquarters,1460354952,www.hblq.com,2759407772.0
First Tractor Company Limited,Henan(China),Headquarters,1459994404,www.first-tractor.com.cn,37964967038.0
"Jiangsu Chengzhang Construction Group Co., Ltd.",Jiangsu(China),Headquarters,1459473348,,51983887708.0
"Zhaotong Expressway Investment Development Co., Ltd.",Yunnan(China),Headquarters,1459313820,www.ztgaosu.com,8703189874.0
"Bestore Co.,Ltd",Hubei(China),Headquarters,1458399389,www.517lppz.com,2785793003.0
"Henan Yonglian Coal Industry Co., Ltd.",Henan(China),Headquarters,1458188578,,3716959691.0
Tus Science & Technology Service Group,Beijing(China),Headquarters,1457902443,,1082151068.0
"Kingenta Ecological Engineering Group Co., Ltd.",Shandong(China),Headquarters,1457205122,www.kingenta.com,5397198691.0
Hpgc Renmintongtaipharmaceutical Corporation,Heilongjiang(China),Headquarters,1457089215,www.hyrmtt.com.cn,45186627550.0
"Inner Mongolia Energy Investment Group Co., Ltd.",Inner Mongolia(China),Headquarters,1456585073,www.dlzb.com,4716229112.0
"Zhonggeng Industry Group Co.,Ltd.",Shanghai(China),Headquarters,1456206702,www.zhonggenggroup.com,2133599000.0
"Jiangsu Hengli Hydraulic Co., Ltd.",Jiangsu(China),Headquarters,1456147880,www.henglicn.com,51981986934.0
Yantai Zhaojin Kanfort Precious Metals Incorporated Company,Shandong(China),Headquarters,1455035408,www.zjlifu.com,5358120633.0
The First Company Of China Eighth Engineering Bureau Ltd.,Shandong(China),Headquarters,1454850180,www.cscec81.com,53166628828.0
Jiangsu Jiangzhong Group,Jiangsu(China),Headquarters,1453361216,www.zrgroup.net.cn,51387946666.0
Inner Mongolia Pingzhuang Coal Group Ltd,Inner Mongolia(China),Headquarters,1453211000,pzmy.chnenergy.com.cn,4763325286.0
"Zhongxing Construction Co., Ltd",Jiangsu(China),Headquarters,1453133910,www.jszxjs.net,
"Longyan Huijin Asset Management Development Co.,Ltd.",Fujian(China),Headquarters,1452997737,www.lyhjgs.com,5973398683.0
"Central Yunnan Industry Development Group Co., Ltd.",Yunnan(China),Headquarters,1452566174,www.yndzjt.com,87163110136.0
"Sinopharm Group Shenyang Co., Ltd.",Liaoning(China),Headquarters,1451349126,www.sy-yy.com,2462723353.0
Shantou University,Guangdong(China),Headquarters,1450890000,www.stu.edu.cn,
"Henan Pinggao Electric Co.,Ltd",Henan(China),Headquarters,1450531150,www.pinggao.com,3753804064.0
"Fujian Anjoy Foods Co.,Ltd.",Fujian(China),Headquarters,1450357837,www.anjoyfood.com,5926884980.0
"Befar Group Co.,Ltd",Shandong(China),Headquarters,1449722772,www.befar.com,5432118007.0
"Gansu Province Electric Power Investment Group Co.,Ltd",Gansu(China),Headquarters,1449704783,www.gepic.cn,9318378018.0
"Central China Land Media Co., Ltd.",Henan(China),Headquarters,1448608592,www.zyddcm.com,37187528527.0
"Hubei Yangfeng Stock Co.,Ltd",Hubei(China),Headquarters,1448249157,,7248661388.0
"Avicopter Co., Ltd.",Tianjin(China),Headquarters,1446135000,www.avicopter.com,2259800065.0
Chengdu Aeroplanes Industry Company,(China),Headquarters,1446135000,,2887405521.0
"Chengdu Aircraft Industrial (Group) Co., Ltd.",Sichuan(China),Headquarters,1446135000,,2887405665.0
"Haoji Railway Co.,Ltd.",Beijing(China),Headquarters,1445582178,,1051877259.0
"Xi'An Byd Electronics Co., Ltd.",Shaanxi(China),Headquarters,1445164633,www.bydglobal.com,2988889999.0
"Ningbo Cixi Import And Export Holdings Co., Ltd.",Zhejiang(China),Headquarters,1444979320,www.cncie.com,57463886727.0
"Xiamen Financial Investment Group Co., Ltd.",Fujian(China),Headquarters,1443649296,www.xmjyjt.com,5923502330.0
Jiangsu Sopo Corporation (Group) Ltd,Jiangsu(China),Headquarters,1441918821,www.sopo.com.cn,51188995088.0
Lanzhou Baihuo Dalou & Lanzhou Friendship Store,Gansu(China),Headquarters,1441000000,lanzhou.china.org.cn,
"Yanzhou Jiulong Guihe Shopping Plaza Co., Ltd.",Shandong(China),Headquarters,1441000000,,5375178759.0
"Shannon Semiconductor Technology Co.,Ltd.",Anhui(China),Headquarters,1439954499,www.ahjlcd.com,5634186119.0
Wuhan Chedu Corporation Lmitied.,Hubei(China),Headquarters,1439765387,www.cnwaci.cn,2784892651.0
Yto Group Corporation,Henan(China),Headquarters,1439141481,www.yituo.com.cn,37964969492.0
Tasly Holding Group Company  Ltd.,Tianjin(China),Headquarters,1438751004,www.tasly.com,2226736980.0
"Shanghai Chengtou Holding Co.,Ltd",Shanghai(China),Headquarters,1437969686,www.sh600649.com,2166987070.0
"Hangzhou Gsgt State-Owned Investment Holdings Group Co.,Ltd.",Zhejiang(China),Headquarters,1437616802,www.hzxcgt.cn,87233387.0
"Ruijie Networks Co., Ltd.",Fujian(China),Headquarters,1437286756,www.rghall.com.cn,59163515888.0
"Beijing Eastern Petro-Chemical Co., Ltd.",Beijing(China),Headquarters,1437087777,www.dfpc.com.cn,1067764610.0
"Sunshine Insurance Co., Ltd.",(China),Headquarters,1436305000,,1059939681.0
Hebei Cangzhou Eastern Plastics Co.Ltd .,Hebei(China),Headquarters,1436297100,www.hbcz-dongsu.com,3172075165.0
"Shantui Construction Machinery Co.,Ltd",Shandong(China),Headquarters,1432798284,www.shantui.com,5372909533.0
"Meinian Onehealth Healthcare Holdings Co.,Ltd.",Shanghai(China),Headquarters,1432113790,www.health-100.cn,2166773289.0
"Chow Tai Seng Jewellery Co., Ltd.",Guangdong(China),Headquarters,1432056384,www.chowtaiseng.com,755618666696186.0
"Shanghai Xietong (Group) Co., Ltd.",Shanghai(China),Headquarters,1432028021,www.xietongcaps.com,
Beijing Subway Limited,Beijing(China),Headquarters,1431930000,www.bjsubway.com,1062293704.0
"C&S Paper Co.,Ltd",Guangdong(China),Headquarters,1431222665,www.zsjr.com,76088553333.0
"Essence Securities Co.,Ltd.",Guangdong(China),Headquarters,1430980659,www.essence.com.cn,75582825310.0
"Ai'Er Medical Investment Group Co., Ltd.",Hunan(China),Headquarters,1430110497,,73185179288.0
"Yangquan Yankan Coal & Char Co., Ltd.",Shanxi(China),Headquarters,1429925760,www.sxmx.com.cn,3535077970.0
Lite-On Electronics (Guangzhou) Limited,Guangdong(China),Headquarters,1429793796,www.liteon.com,
No.4 Construction Engineering Company,Fujian(China),Headquarters,1429558000,,76088823737.0
"Zhejiang Medicine Co.,Ltd.",Zhejiang(China),Headquarters,1427972883,www.zmc.top,57586024939.0
"Roquette Management (Shanghai) Co., Ltd.",Shanghai(China),Headquarters,1427965000,www.roquette.com,2124229696.0
Taixing Zhongxing State-Owned Assets Management Investment Co Ltd,Jiangsu(China),Headquarters,1425834153,,52387614499.0
"Luzhou Construction Engineering Co., Ltd.",Sichuan(China),Headquarters,1425819156,,8302285958.0
"China Resources Double-Crane Pharmaceutical Co.,Ltd.",Beijing(China),Headquarters,1425223489,www.dcpc.com,1064742227.0
"Dalian Huarui Heavy Industry Group Co.,Ltd.",Liaoning(China),Headquarters,1424796775,www.dhidcw.com,41186852188.0
Sichuan Expressway Company Limited,Sichuan(China),Headquarters,1422708881,www.cygs.com,2885527510.0
Sichuan Hydropower Investment And Management Group Ltd.,Sichuan(China),Headquarters,1422705440,sdjt.scnyw.com,2886299998.0
"Fast Retailing (China) Trading Co., Ltd.",Shanghai(China),Headquarters,1422586060,www.uniqlo.com,2133382288.0
"Jiangxi Provincial Tourism Group Co.,Ltd.",Jiangxi(China),Headquarters,1422151088,www.jxto.com.cn,79186121833.0
"Guizhou Jianye Changda Gas Co.,Ltd.",Guizhou(China),Headquarters,1421891568,,85113984368289.0
Jizhong Energy International Logistics Group Co. Ltd.,Hebei(China),Headquarters,1418822157,www.jznygjwl.com.cn,3102757323.0
"Sichuan Langjiu Co.,Ltd.",Sichuan(China),Headquarters,1418639456,www.langjiu.cn,2886665771.0
"Oriental Pearl Group Co.,Ltd.",Shanghai(China),Headquarters,1418600510,www.opg.cn,
Arcplus Group Plc,Shanghai(China),Headquarters,1416349157,www.arcplus.com.cn,2152524567.0
Zhejiang Jiahua Group Co. Ltd,Zhejiang(China),Headquarters,1416041479,www.jiahuagroup.com,57382713778.0
"Kidswant Children Products Co.,Ltd",Jiangsu(China),Headquarters,1415425340,www.haiziwang.com,2583163703.0
"Spreadtrum Communications (Shanghai) Co., Ltd.",Shanghai(China),Headquarters,1414570417,www.shicmuseum.com,
"Yintai Gold Co.,Ltd",Beijing(China),Headquarters,1414074966,www.ytg000975.com,1085171856.0
Zhejiang Radio & Television Group,Zhejiang(China),Headquarters,1412572200,,57188077050.0
Longyan Water Development Group Limited,Fujian(China),Headquarters,1411779659,www.lysfjt.com,5973302266.0
"Novo Nordisk (China) Pharmaceuticals Co., Ltd.",Tianjin(China),Headquarters,1411451732,www.novonordisk.com.cn,
"Guangdong Hisense Refrigerator Marketing Co.,Ltd.",Guangdong(China),Headquarters,1411267062,www.hisense.com.cn,75728362669.0
Shanghai Jiao Tong University,Shanghai(China),Headquarters,1411135614,www.sjtu.edu.cn,
"Jushi Group Co., Ltd.",Zhejiang(China),Headquarters,1410838809,www.jushi.com,57388136322.0
"Taobo Enterprise Development (Shanghai) Co., Ltd.",Shanghai(China),Headquarters,1409998973,www.fossofficial.com,2156295000.0
"China Shipping Bulk Carrier Co., Ltd.",Guangdong(China),Headquarters,1409580000,lbsp.click.com.cn,2084108686.0
Chuzhoutongchuangconstruction&Investmentco.Ltd.,Anhui(China),Headquarters,1409346390,,5503212873.0
"Shanghai Putailai New Energy Technology Co.,Ltd.",Shanghai(China),Headquarters,1407137739,www.putailai.com,2161902930.0
"China Construction Fangcheng Investment&Development Group Co.,Ltd",Beijing(China),Headquarters,1405440739,www.cscecfc.com,1088083699.0
"Beijing Taihua Real Estate Development Group Co.,Ltd.",Beijing(China),Headquarters,1405376000,www.tpmansion.com,1062685820.0
"Hubei Xuanfan Car Sales Co., Ltd.",Hubei(China),Headquarters,1404969464,,
"Qingdao Hanhe Cable Co.,Ltd",Shandong(China),Headquarters,1404853851,www.hanhe-cable.com,53288817418.0
"New Hope Dairy Co.,Ltd.",Sichuan(China),Headquarters,1402598118,www.newhopedairy.cn,2886748930.0
"Cetc Digital Technology Co.,Ltd.",Shanghai(China),Headquarters,1401801158,www.shecc.com,2133390288.0
"Zhejiang Jiahua Energy Chemical Industry Co., Ltd.",Zhejiang(China),Headquarters,1400986523,www.jhec.com.cn,57385583256.0
"Triangle Tyre Co.,Ltd",Shandong(China),Headquarters,1400645215,www.triangle.com.cn,
"Apeloa Pharmaceutical Co.,Ltd",Zhejiang(China),Headquarters,1398804308,www.apeloa.com,57986557693.0
"Tianjin Yijian Construction Engineering Co., Ltd.",Tianjin(China),Headquarters,1397551760,www.ctjyj.com,2223045088.0
"Beijing Jingxundi Technology Co., Ltd.",Beijing(China),Headquarters,1397211123,corporate.jd.com,
"Yonyou Network Technology Co.,Ltd.",Beijing(China),Headquarters,1397111843,www.yonyou.com,1062436838.0
"Qingdao Chengyang District Yangguang Chengyang Holding Group Co., Ltd.",Shandong(China),Headquarters,1396962931,,53267769576.0
"Tbea Xinjiang Sunoasis Co., Ltd.",Xinjiang(China),Headquarters,1394315648,www.sunoasis.com.cn,
"China Energy Construction Group Guangdong Electric Power Engineering Bureau Co., Ltd.",Guangdong(China),Headquarters,1392514200,,2061015323.0
"Chongqing Ailite Commerce Operation Management Co., Ltd.",Chongqing(China),Headquarters,1390314470,,2363672000.0
"Shanghai Waigaoqiao Free Trade Zone Group Co., Ltd.",Shanghai(China),Headquarters,1389670787,www.china-ftz.com,2158680088.0
"Era Co.,Ltd.",Zhejiang(China),Headquarters,1389160702,www.yonggao.com,57684277186.0
"Sanmenxia Investment Group Co.,Ltd",Henan(China),Headquarters,1388751351,,3982829600.0
"State Grid East Inner Mongolia Electric Power Supply Co.,Ltd.",Inner Mongolia(China),Headquarters,1387340658,,4716215555.0
"Shanghai Runda Medical Technology Co., Ltd.",Shanghai(China),Headquarters,1385898093,www.rundamedical.com,
Spic Dongfang New Energy Corporation,Hebei(China),Headquarters,1385083458,www.spichebei.com,18031199953.0
"Leyard Optoelectronic Co.,Ltd.",Beijing(China),Headquarters,1384696631,www.leyard.com,1062888888.0
"Opple Lighting Co.,Ltd",Shanghai(China),Headquarters,1383789395,www.opple.com,2138550000.0
"China Railway Special Cargo Logistics Co., Ltd.",Beijing(China),Headquarters,1383384893,www.crscl.com.cn,1051892231.0
"China Sciences Group (Holding) Co.,Ltd",Beijing(China),Headquarters,1383246462,www.csh.com.cn,1082569888.0
"Nanjing High Accurate Drive Equipment Manufacturing Group Co., Ltd.",Jiangsu(China),Headquarters,1382573270,www.ngctransmission.com,2585099368.0
"Jinan Shengquan Group Share-Holding Co., Ltd.",Shandong(China),Headquarters,1380344245,www.shengquan.com,53183501353.0
Ningbo Fubang Holding Group Co. Ltd,Zhejiang(China),Headquarters,1380234945,www.fb.com.cn,57487307494.0
"Sino-Agri Leading Biosciences Co.,Ltd",Beijing(China),Headquarters,1379954603,www.sino-agri-sal.com,1059337358.0
Sichuan Geology Mining Reconnaissance Development Bureau,Sichuan(China),Headquarters,1379300000,,2883231231.0
"Global Top E-Commerce Co.,Ltd",Shanxi(China),Headquarters,1379269483,www.kjtbao.com,3515270116.0
Petrochina Jilin Chemical Group Company,Jilin(China),Headquarters,1379083200,www.petrochina.com.cn,
"Wenzhou City Construction Investment Group Co., Ltd",Zhejiang(China),Headquarters,1378791464,www.wzctjt.com,57788568868.0
"Guangdong Kinlong Hardware Products Co.,Ltd.",Guangdong(China),Headquarters,1377563567,www.kinlong.com,76982136666.0
"Zhongyifeng Construction Group Co.,Ltd.",Jiangsu(China),Headquarters,1376696629,www.zyfchina.com,51265798512.0
"Xinxiang Bailu Investment Group Co., Ltd.",Henan(China),Headquarters,1376429522,www.bailu.com,3733978970.0
"Dayun Automobile Co ., Ltd.",Shanxi(China),Headquarters,1375305169,www.dayunmotor.com,3592537186.0
"Avic Heavy Machinery Co.,Ltd.",Guizhou(China),Headquarters,1374916471,www.avichm.com,85186320217.0
Shenyang Coal Trade Group Corporation Limited Liability Company,Liaoning(China),Headquarters,1373904489,www.sycoal.com,2462540258.0
"Tibet Shengyuan Mining Industry Group Co.,Ltd.",Xizang(China),Headquarters,1373849400,,8916872800.0
"Yantai Jereh Oilfield Services Group Co., Ltd.",Shandong(China),Headquarters,1372768824,www.jereh.com,5356723532.0
"Shandong Ningjian Construction Group Co., Ltd.",Shandong(China),Headquarters,1371170000,www.sd-njjt.com,5372363699.0
"Hengli (Shenzhen) Investment Group Co., Ltd.",Guangdong(China),Headquarters,1370738635,www.shenzheninvestment.com,75566855999.0
"Cosco Shipping Specialized Carriers Co.,Ltd.",Guangdong(China),Headquarters,1369211521,spe.coscoshipping.com,2038161888.0
"Jiangxi No.1 Construction Co., Ltd.",Jiangxi(China),Headquarters,1369075000,www.jxsjgjt.com,7915212437.0
"Dare Power Dekor Home Co.,Ltd.",Jiangsu(China),Headquarters,1368756964,www.dareglobal.com.cn,51186981046.0
Ningde Amperex Technology Limited,Fujian(China),Headquarters,1368564190,www.catlbattery.com,
"Beijing New Building Material (Group) Co.,Ltd.",Beijing(China),Headquarters,1367868968,www.bnbmg.com.cn,1068799688.0
"Taiyuan Dongshan Coal Mine Co., Ltd.",Shanxi(China),Headquarters,1367685000,,3514410488.0
West Lake Electronics Group Co Ltd,Zhejiang(China),Headquarters,1367645756,www.xhdzjt.com.cn,57188271000.0
"Xinxiang Chemical Fiber Co., Ltd.",Henan(China),Headquarters,1367188228,www.bailu.com,3733978861.0
"Jinyuan Ep Co.,Ltd.",Zhejiang(China),Headquarters,1366960793,www.jysn.com,13735807597.0
Neusoft Corporation,Liaoning(China),Headquarters,1366297885,www.neusoft.com,2483667035.0
"Beijing China Auto Rental Co., Ltd.",Beijing(China),Headquarters,1366063380,www.zuche.com,
"Dongfeng Light Commercial Vehicle Marketing Co., Ltd.",Hubei(China),Headquarters,1364433514,www.dfac-bds.com,2784287031.0
Chinese Dramatists Association,Beijing(China),Headquarters,1364099000,,1064042457.0
Xi'An High-Tech Development Zone Real Estate Development Company,Shaanxi(China),Headquarters,1363469812,www.xagxdc.com,2988315011.0
"Shenzhen Nanyou (Group) Co., Ltd.",Guangdong(China),Headquarters,1362928000,www.nanyou.net.cn,75526888881.0
"Flat Glass Group Co.,Ltd.",Zhejiang(China),Headquarters,1362923124,www.flatgroup.com.cn,57382793013.0
Weining Investment Group.,Guangxi(China),Headquarters,1362324817,www.wntzjt.com,7715750821.0
East China Normal University,Shanghai(China),Headquarters,1361805354,www.ecnu.edu.cn,2162233333.0
"Fujian Hengan Holding Xiamen Business Trade Co., Ltd.",Fujian(China),Headquarters,1361314039,www.hengan.com,5925287361.0
"Baic Bluepark New Energy Technology Co.,Ltd.",Beijing(China),Headquarters,1360357523,www.bjev.com.cn,1053970788.0
"Scas Investment Group Co.,Ltd.",Guangdong(China),Headquarters,1360219000,www.toyota.com,75582909000.0
"Sieyuan Electric Co., Ltd.",Shanghai(China),Headquarters,1360124301,www.sieyuan.com,2161610958.0
Sichuan Leshan Fuhua Tongda Agro-Chemical Technology Co.Ltd,Sichuan(China),Headquarters,1359365194,www.fuhua-tongda.com,8333350226.0
"Landsea Group Co., Ltd.",Jiangsu(China),Headquarters,1358257272,www.landsea.cn,2586709581.0
"Qian'An City Jiujiang Wire Co.,Ltd.",Hebei(China),Headquarters,1358009775,www.qajjxc.cn,
"Shenzhen Centralcon Investment Holding Co., Ltd.",Guangdong(China),Headquarters,1357121662,www.zztzkg.com,75588393609.0
"China Wuyi Co.,Ltd.",Fujian(China),Headquarters,1355651314,www.chinawuyi.com.cn,59188323669.0
"Wuhan Pingmei Wugang Joint Coking Co., Ltd.",Hubei(China),Headquarters,1355591333,,2786893227.0
"Wuhan Industrial Investment Development Group Co.,Ltd",Hubei(China),Headquarters,1355151240,www.whgykg.com,2765619735.0
"China No.9 Metallurgical Construction Co., Ltd.",Shaanxi(China),Headquarters,1354440000,www.9mcc.com,2933419601.0
"Yiwu Huading Nylon Co.,Ltd.",Zhejiang(China),Headquarters,1353680110,www.hdnylon.com,57985261091.0
"Milkyway Chemical Supply Chain Service Co.,Ltd.",Shanghai(China),Headquarters,1352206946,www.mwclg.com,2180229888.0
Fujian Kibing Group Company Limited.,Fujian(China),Headquarters,1351627021,www.kibinggroup.com,5965669888.0
"China Camc Engineering Co.,Ltd.",Beijing(China),Headquarters,1351432041,www.camce.com.cn,1082688606.0
"China Cyts Tours Holding Co.,Ltd.",Beijing(China),Headquarters,1350755368,www.cyts.com,1058158717.0
"Far East Horizon(Tianjin) Financial Leasing Co., Ltd.",Tianjin(China),Headquarters,1350718923,www.fehorizon.com,2266372580.0
Daqing Petroleum Management Bureau Oilfield Construction Company,Heilongjiang(China),Headquarters,1350464808,,
"Xi'An Zhen'Ai Investment Group Co., Ltd.",Shaanxi(China),Headquarters,1349812000,,295221234.0
"Dafeng Urban Construction State-Owned Assets Management Co., Ltd.",Jiangsu(China),Headquarters,1349341957,,51583535951.0
"China Merchants Expressway Network & Technology Holdings Co., Ltd.",Tianjin(China),Headquarters,1349283925,www.cmexpressway.com,1056529000.0
"Aucma Co.,Ltd.",Shandong(China),Headquarters,1349237469,www.aucma.com.cn,53286765083.0
"Beijing Tongshengbo Materials Co.,Ltd.",Beijing(China),Headquarters,1349000000,,1080851662.0
"Betterpower Battery Co., Ltd.",Guangdong(China),Headquarters,1349000000,www.betterpower.com.cn,75528078658.0
"Ningbo Veken Trade Group Co., Ltd.",Zhejiang(China),Headquarters,1349000000,www.nbvku.com,57487253165.0
Xianghe County Construction Engineering Company,Hebei(China),Headquarters,1349000000,,
"Qingdao Conson Development (Group) Co.,Ltd",Shandong(China),Headquarters,1347307872,www.qdgxjt.com,53283893955.0
"Anhui Foreign Economic Construction (Group) Co., Ltd.",Anhui(China),Headquarters,1346529271,www.afecc.com,55163492558.0
"Qingdao Development Zone Investment And Construction Group Co.,Ltd.",Shandong(China),Headquarters,1345942481,www.qdjkgroup.com,53286986696.0
"Fujian Sanmu Group Co.,Ltd.",Fujian(China),Headquarters,1345288177,www.san-mu.com,59138170632.0
"Macrolink Culturaltainment Development Co.,Ltd.",Beijing(China),Headquarters,1345021480,www.xhlwl.com.cn,1080559199.0
Ericsson (China) Communications Company Ltd.,Beijing(China),Headquarters,1344804246,www.ericsson.com,1084769000.0
"Pengxin International Mining Co.,Ltd",Shanghai(China),Headquarters,1343221868,www.pengxinzy.com.cn,2161679077.0
"Kaiping Dwelling House Construction Engineering Group Co.,Ltd.",Guangdong(China),Headquarters,1341826962,,75487251750.0
"China Railway First Group The Xinyun Engineering Co., Ltd.",Shaanxi(China),Headquarters,1340076999,www.ztxygs.com.cn,9103233344.0
"Linyi Investment Development Group Co., Ltd.",Shandong(China),Headquarters,1338801283,www.lytzjt.cn,5398228176.0
"China Mobile Communications Group Heilongjiang Co., Ltd.",Heilongjiang(China),Headquarters,1337464656,html5.mail.10086.cn,
"Kailuan (Group) Weizhou Mine Industry Co.,Ltd.",Hebei(China),Headquarters,1337292000,,3137179058.0
"Haitong Unitrust International Financial Leasing Co., Ltd.",Shanghai(China),Headquarters,1337274624,www.utfinancing.com,2161355398.0
"Gohigh Data Networks Technology Co.,Ltd",Beijing(China),Headquarters,1337150739,www.gohigh.com.cn,1062301907.0
"Guangzhou Volkswagen Parts Co., Ltd.",Guangdong(China),Headquarters,1337094000,www.vw.com,
"Xuzhou Xugong Automobile Manufacturing Co., Ltd.",Jiangsu(China),Headquarters,1335586071,www.xcmg.com,51683189090.0
Chengdu Yimin Investment Group Co.Ltd,Sichuan(China),Headquarters,1334186267,www.ymtzjt.com,2861888856.0
"Zhucheng Trading Co., Ltd.",Shandong(China),Headquarters,1333731000,www.zcwm.com,5366063672.0
"Guangdong Hongda Holdings Group Co.,Ltd.",Guangdong(China),Headquarters,1333712158,www.hdbp.com,2038092888.0
"Perfect World Co.,Ltd.",Beijing(China),Headquarters,1332385247,www.pwpic.com,1057806688.0
"Markor Investment Group Co., Ltd.",Xinjiang(China),Headquarters,1331600644,www.markor.com.cn,9913628188.0
Gigadevice Semiconductor (Beijing) Inc.,Beijing(China),Headquarters,1331169082,www.gigadevice.com,1082881782.0
